治療方法,Stage 0,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage III,Stage IV
膵頭十二指腸切除術（Whipple）,0.000,0.063,0.000,0.000,0.000,0.000,0.000
膵体尾部切除術,0.000,0.063,0.000,0.000,0.000,0.000,0.000
全膵切除術,0.000,0.063,0.071,0.000,0.000,0.000,0.000
術前FOLFIRINOX,0.000,0.063,0.071,0.077,0.063,0.000,0.000
ナノリポソームイリノテカン療法,0.000,0.063,0.071,0.077,0.063,0.059,0.000
化学放射線療法（CRT）,0.000,0.063,0.071,0.077,0.063,0.059,0.000
conversion手術,0.000,0.063,0.071,0.077,0.063,0.059,0.000
Gem単剤療法,0.000,0.063,0.071,0.077,0.063,0.059,0.000
SBRT（定位放射線治療）,0.000,0.063,0.071,0.077,0.063,0.059,0.000
IMRT（強度変調放射線療法）,0.000,0.063,0.071,0.077,0.063,0.059,0.000
FOLFIRINOX一次療法,0.000,0.063,0.071,0.077,0.063,0.059,0.071
Gem+nab-PTX一次療法,0.000,0.063,0.071,0.077,0.063,0.059,0.071
S-1単剤（二次療法）,0.000,0.063,0.071,0.077,0.063,0.059,0.071
放射線療法（緩和目的）,0.000,0.063,0.071,0.077,0.063,0.059,0.071
緩和ケア,0.000,0.063,0.071,0.077,0.063,0.059,0.071
免疫チェックポイント阻害薬,0.000,0.000,0.000,0.000,0.000,0.059,0.071
抗PD-L1抗体＋TGF-β阻害薬,0.000,0.000,0.000,0.000,0.000,0.059,0.071
腹腔神経叢ブロック,0.000,0.000,0.000,0.000,0.063,0.059,0.071
PARP阻害薬（BRCA変異）,0.000,0.000,0.000,0.000,0.000,0.059,0.071
KRAS G12C阻害薬,0.000,0.000,0.000,0.000,0.063,0.059,0.071
HER2阻害薬,0.000,0.000,0.000,0.000,0.000,0.000,0.071
VEGF阻害薬,0.000,0.000,0.000,0.000,0.000,0.000,0.071
HIPEC（腹腔内温熱化学療法）,0.000,0.000,0.000,0.000,0.000,0.000,0.071
遺伝子パネル検査,0.000,0.000,0.000,0.000,0.000,0.000,0.071
術前Gem+nab-PTX,0.000,0.000,0.000,0.000,0.063,0.059,0.000
術後S-1補助化学療法,0.000,0.063,0.071,0.077,0.063,0.000,0.000