治療方法,適用可否,ステージ,生存確率,余命,生活活動度,医療費,収入減,QOL指標,自覚症状
膵頭十二指腸切除術（Whipple）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
膵体尾部切除術,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
全膵切除術,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
術前FOLFIRINOX,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ナノリポソームイリノテカン療法,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
化学放射線療法（CRT）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conversion手術,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gem単剤療法,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBRT（定位放射線治療）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMRT（強度変調放射線療法）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLFIRINOX一次療法,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gem+nab-PTX一次療法,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-1単剤（二次療法）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
放射線療法（緩和目的）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
緩和ケア,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
免疫チェックポイント阻害薬,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
抗PD-L1抗体＋TGF-β阻害薬,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
腹腔神経叢ブロック,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP阻害薬（BRCA変異）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAS G12C阻害薬,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HER2阻害薬,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGF阻害薬,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPEC（腹腔内温熱化学療法）,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
遺伝子パネル検査,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
術前Gem+nab-PTX,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
術後S-1補助化学療法,FALSE,Stage 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0